edition,product,version,checksum,date,dlnumber,url,filename,filetype,size,family
Citrix Virtual Apps and Desktops 7 2103,License Server for Windows - Version 11.16.6.0 Build 34000,2103,SHA-256 - feafb731b07fb32bf52bf5067b33ea2dac9202378caa7b7ec9d8c87b461ab9f9,"Mar 17, 2021",9803,https://secureportal.citrix.com/udl.asp?DLID=9803&URL=https://downloads.citrix.com/9803/Citrix_Licensing_11.16.6.0_BUILD_34000.zip,Citrix_Licensing_11.16.6.0_BUILD_34000.zip,zip,51.8 MB,cvad
Citrix Virtual Apps and Desktops 7 2103,Profile Management 2103,2103,SHA-256 - afcbf3aa7ae40e4f34a487e41c4140635c1bbeb73f8d858d29a69f459a5d0620,"Mar 17, 2021",19147,https://secureportal.citrix.com/udl.asp?DLID=19147&URL=https://downloads.citrix.com/19147/ProfileMgmt_2103.zip,ProfileMgmt_2103.zip,zip,11.9 MB,cvad
Citrix Virtual Apps and Desktops 7 2103,StoreFront 1912 LTSR CU2,2103,SHA-256 - b02d9a2250f44f04662fc5e5f5a303c09f5cfb5042cabfdcbd52a7c0fd5fdafa,"Nov 19, 2020",18840,https://secureportal.citrix.com/udl.asp?DLID=18840&URL=https://downloads.citrix.com/18840/CitrixStoreFront-x64.exe,CitrixStoreFront-x64.exe,exe,46.2 MB,cvad
Citrix Virtual Apps and Desktops 7 2103,Sources: Session Recording,2103,SHA-256 - 5e6a0127c127b19af851fd83dc2cb70b1918dc20ef21af84bf66efc02fb52916,"Feb 23, 2017",12292,https://secureportal.citrix.com/udl.asp?DLID=12292&URL=https://downloads.citrix.com/12292/MMCFormsShim.zip,MMCFormsShim.zip,zip,18.1 KB,cvad
Citrix Virtual Apps and Desktops 7 2012,Citrix Virtual Apps and Desktops 7 2012,2012,SHA-256 - 521F5D038A5552DEB0DF82F4243EB5FB72D5D3C4EDDE9239BCE29FA481BC1953,"Dec 14, 2020",18862,https://secureportal.citrix.com/udl.asp?DLID=18862&URL=https://downloads.citrix.com/18862/Citrix_Virtual_Apps_and_Desktops_7_2012.iso,Citrix_Virtual_Apps_and_Desktops_7_2012.iso,iso,2.4 GB,cvad
Citrix Virtual Apps and Desktops 7 2012,Multi-session OS Virtual Delivery Agent 2012,2012,SHA-256 - bc75449fa9382923767bc9b25f47f0fe16c8601e162b413f28e26532bdee5401,"Dec 14, 2020",18863,https://secureportal.citrix.com/udl.asp?DLID=18863&URL=https://downloads.citrix.com/18863/VDAServerSetup_2012.exe,VDAServerSetup_2012.exe,exe,453 MB,cvad
Citrix Virtual Apps and Desktops 7 2012,Single-session OS Virtual Delivery Agent 2012,2012,SHA-256 - 2b87abcfb4ed54211ec615e64d84c1239505988b8802386ac256c2b2763ab014,"Dec 14, 2020",18864,https://secureportal.citrix.com/udl.asp?DLID=18864&URL=https://downloads.citrix.com/18864/VDAWorkstationSetup_2012.exe,VDAWorkstationSetup_2012.exe,exe,458 MB,cvad
Citrix Virtual Apps and Desktops 7 2012,Single-session OS Core Services Virtual Delivery Agent 2012,2012,SHA-256 - bbaf29f68f9882ba7b96d2a83bdf030aaeb242510c523a0a8dfcf9b247a406e0,"Dec 14, 2020",18865,https://secureportal.citrix.com/udl.asp?DLID=18865&URL=https://downloads.citrix.com/18865/VDAWorkstationCoreSetup_2012.exe,VDAWorkstationCoreSetup_2012.exe,exe,249 MB,cvad
Citrix Virtual Apps and Desktops 7 2012,License Server for Windows - Version 11.16.6.0 Build 33000,2012,SHA-256 - 903A9E2DFCCF9E15AE18E625A327317EA7671669C7D9263AB1CD885755FD06E4,"Dec 14, 2020",9803,https://secureportal.citrix.com/udl.asp?DLID=9803&URL=https://downloads.citrix.com/9803/Citrix_Licensing_11.16.6.0_BUILD_33000.zip,Citrix_Licensing_11.16.6.0_BUILD_33000.zip,zip,52.9 MB,cvad
Citrix Virtual Apps and Desktops 7 2012,Profile Management 2012,2012,SHA-256 - 5839b33cc72316579d2c33cb3174d2392f69f69bbc07f93d4de32ea9693e62e3,"Dec 14, 2020",18866,https://secureportal.citrix.com/udl.asp?DLID=18866&URL=https://downloads.citrix.com/18866/ProfileMgmt_2012.zip,ProfileMgmt_2012.zip,zip,11.8 MB,cvad
